"","Name","FTSEWorld","India","Egypt","China","Brazil","Taiwan","FTSEWorldN","IndiaN","EgyptN","ChinaN","BrazilN","TaiwanN"
"vars",1,2,3,4,5,6,7,8,9,10,11,12,13
"n",241,241,241,241,241,241,241,241,241,241,241,241,241
"mean",NA,273.851908713693,1408.92867219917,261.319294605809,2563.77908713693,526.431286307054,308.620995850622,187.31320705451,423.737946526066,442.613981378403,381.355846840145,349.439951083341,169.376541271402
"sd",NA,89.9078466987632,566.912417233235,101.122913447367,876.581412736906,209.599935751633,129.60364239932,61.4964751701526,170.49997510774,171.278647437952,130.389333720608,139.130392135169,71.1287209260304
"median",NA,259.34,1375.9,237.64,2628.98,482.7,263.57,177.387140902873,413.804511278195,402.506775067751,391.054322603677,320.411549950216,144.651775423961
"trimmed",NA,265.884507772021,1387.77269430052,252.166269430052,2572.65430051813,515.384766839378,287.748704663212,181.863548407675,417.375246406171,427.11088995605,382.676013047857,342.107379249504,157.921466803805
"mad",NA,92.603196,479.591448,71.83197,577.354092,180.076596,74.27826,63.3400793433652,144.238029473684,121.666615853659,85.8800041649312,119.533087288417,40.7651940069151
"min",Inf,128.78,332.5,59.04,672.28,150.65,124.15,88.0848153214774,100,100,100,100,68.1356676362439
"max",-Inf,496.65,2745.46,602.11,5223.81,1170.44,702.31,339.705882352941,825.702255639098,1019.83401084011,777.028916522877,776.926651178228,385.439877064925
"range",-Inf,367.87,2412.96,543.07,4551.53,1019.79,578.16,251.621067031464,725.702255639098,919.834010840108,677.028916522877,676.926651178228,317.304209428681
"skew",NA,0.697335343032804,0.308063955223907,1.00177108092694,-0.095332021728448,0.540901582914706,1.39225062540676,0.697335343032803,0.308063955223906,1.00177108092694,-0.0953320217284487,0.540901582914706,1.39225062540676
"kurtosis",NA,-0.382890215451714,-0.251187320623467,1.42809724998791,0.0761512574491174,-0.305113325063751,1.14642471693657,-0.382890215451716,-0.251187320623468,1.42809724998791,0.0761512574491179,-0.305113325063752,1.14642471693657
"se",NA,5.79147352164384,36.5180390149701,6.51389947780791,56.465572559428,13.5015187507603,8.34850450572056,3.9613361981148,10.9828688766827,11.0330275708129,8.39911533281192,8.96217640276154,4.58180369119179
