"","Date","FTSEWorldN","IndiaN","EgyptN","ChinaN","BrazilN","TaiwanN","FTSEWorld_Log","India_Log","EgyptN_Log","China_Log","Brazil_Log","Taiwan_Log","FTSE_per","India_Per","Egpyt_per","China_per","Brazil_per","Taiwan_per"
"vars",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
"n",241,241,241,241,241,241,241,240,240,240,240,240,240,240,240,240,240,240,240
"mean",NA,187.31320705451,423.737946526066,442.613981378403,381.355846840145,349.439951083341,169.376541271402,0.00466562799404743,0.00871676544724841,0.00486784348969176,0.00532845555785343,0.00410083581874616,0.00446545483230799,0.466562799404743,0.871676544724841,0.486784348969176,0.532845555785343,0.410083581874616,0.446545483230799
"sd",NA,61.4964751701526,170.49997510774,171.278647437952,130.389333720608,139.130392135169,71.1287209260304,0.0523960408634798,0.0823647917027954,0.0905046414197171,0.0802479530213625,0.106467757014915,0.0677589078548598,5.23960408634798,8.23647917027954,9.05046414197171,8.02479530213625,10.6467757014915,6.77589078548598
"median",NA,177.387140902873,413.804511278195,402.506775067751,391.054322603677,320.411549950216,144.651775423961,0.0148010682442595,0.0147254294600077,0.00855779641546747,0.0111212626460441,0.00608684579921964,0.0103854510749075,1.48010682442595,1.47254294600077,0.855779641546747,1.11212626460441,0.608684579921964,1.03854510749075
"trimmed",NA,181.863548407675,417.375246406171,427.11088995605,382.676013047857,342.107379249504,157.921466803805,0.00915077506733967,0.012565582482698,0.00680646908400751,0.00676203607980505,0.00859552076237076,0.00813585654456246,0.915077506733967,1.2565582482698,0.680646908400751,0.676203607980505,0.859552076237076,0.813585654456246
"mad",NA,63.3400793433652,144.238029473684,121.666615853659,85.8800041649312,119.533087288417,40.7651940069151,0.0331720758979085,0.069273890556689,0.0689099620699333,0.0704754180474427,0.0856178223580167,0.0574431004525802,3.31720758979085,6.9273890556689,6.89099620699334,7.04754180474426,8.56178223580167,5.74431004525802
"min",Inf,88.0848153214774,100,100,100,100,68.1356676362439,-0.361530658183631,-0.430662360880761,-0.359053581760061,-0.335167205075802,-0.686931112329626,-0.304416791873082,-36.1530658183631,-43.0662360880761,-35.9053581760061,-33.5167205075802,-68.6931112329627,-30.4416791873082
"max",-Inf,339.705882352941,825.702255639098,1019.83401084011,777.028916522877,776.926651178228,385.439877064925,0.172225477373071,0.283096393818903,0.296673104271425,0.32327868535114,0.303221198867334,0.206111949932296,17.2225477373071,28.3096393818903,29.6673104271425,32.327868535114,30.3221198867334,20.6111949932296
"range",-Inf,251.621067031464,725.702255639098,919.834010840108,677.028916522877,676.926651178228,317.304209428681,0.533756135556703,0.713758754699664,0.655726686031486,0.658445890426942,0.990152311196961,0.510528741805377,53.3756135556703,71.3758754699664,65.5726686031486,65.8445890426942,99.0152311196961,51.0528741805377
"skew",NA,0.697335343032803,0.308063955223906,1.00177108092694,-0.0953320217284487,0.540901582914706,1.39225062540676,-2.49036506254111,-1.13868551097157,-0.359818472381144,-0.0968749545706481,-1.53322270743756,-0.747188085480442,-2.49036506254111,-1.13868551097157,-0.359818472381144,-0.0968749545706481,-1.53322270743755,-0.747188085480443
"kurtosis",NA,-0.382890215451716,-0.251187320623468,1.42809724998791,0.0761512574491179,-0.305113325063752,1.14642471693657,14.3760585921692,5.69964341850692,1.83075069765296,2.19163343880662,8.57399133800957,2.11650731437944,14.3760585921692,5.69964341850693,1.83075069765296,2.19163343880663,8.57399133800957,2.11650731437944
"se",NA,3.9613361981148,10.9828688766827,11.0330275708129,8.39911533281192,8.96217640276154,4.58180369119179,0.00338214989452434,0.00531662444297949,0.00584204948288397,0.00517998309364954,0.00687246416378043,0.00437381869465125,0.338214989452434,0.531662444297949,0.584204948288397,0.517998309364954,0.687246416378043,0.437381869465125
